name,catch_copy,lead,description,works_url,movie_url,system_diagram_url
SAFEMEDBOX,薬の正しい服用をあなたに,"薬の飲み忘れや飲み間違いをなくし、正しい服用をサポートする箱です。
ユーザーに服用登録をしてもらうことによって、個人にとって適切なタイミングで服用をアシストします。","１日の時間帯によって薬が分けられているため、適切なタイミングで服用を促します。
特に高齢のユーザーに向けて開発されました。認知症になったとしても箱は特定の時間までロックされているため、時間外に薬を服用することを防ぎます。
特に使用感にこだわり、ターゲットのための使いやすいUIにこだわりました。",,,
Synky,教務課ニッコニコ＾＾,ECCの全校舎の鍵をこのSynkyを使うことによって、一括で開けることによって教務課の人たち大幅な時間短縮が見込めます。,"このアプリケーション「Synky(シンキー）」の中の一つの機能、部屋の開閉状態の確認です
自習でこの部屋使いたい！とおもっていったものの鍵が閉まってて空いていない！
その悩みはこのシステムで解決です。アプリケーション一つで生徒も先生も確認することができます。
そしてこの開発でのメインの機能！
力を入れたのは低予算・低作業・簡単操作！
設置していただき、簡単な設定をするだけで、いままであれほど時間のかかった
朝のドア開けが、いろいろな校舎の行き来や昇り降りをすることもなく
たったワンボタンで！終わらせることができます...
しかも一部教室はドアの開け以外にも締める作業、そして窓の鍵閉めにも連動しています！
居残りしたい生徒も、すぐに帰りたい先生にも配慮したこれ以上ない時短です...
僕たちは今まで教務課の先生の皆さんが毎朝必死に鍵開けをしているのを見て
心には感謝、そして心が痛かったです。僕たちは教務課の先生を楽させたいその思いで
このアプリを作ってまいりました。
僕たちの開発した「Synky」はいかがでしょうか？",,,
Navi Station,「もう駅内で迷わない！簡単に目的地へ！」,"複雑な駅内での移動に戸惑い、不安になった経験はありませんか？
そんな時に、このアプリを使えば、動画でのルート案内により
円滑な移動が実現できます。
","このシステムは、動画で駅内を案内するもので、駅で迷いやすい人、駅に初めて訪れた人、
外国人観光客に向けたシステムになっています。
このシステムの強みは、入力操作を必要とせず、ボタンだけで簡単に目的地までのルートを
検索することができます。
本システムを利用する駅は、大型駅を想定しており鉄道会社の協力のもとにシステムを運用して行こうと考えているため、このシステムを導入することにより、利用ユーザーには動画によるルートの案内、鉄道会社側には、道を尋ねる人が減ることで人員の削減ができ、人件費削減にも繋げることができます。そして、利用者の利便性が上がる上、安心して駅を利用できるため人が増え、収益アップにもつながるメリットがあると考えています。",,,
ドアノックアラート,「手軽にどこでも対応、インターフォンの未来」,「ドアノックアラート」は、インターフォンの未来を切り開く革新的なシステムで外出先でも宅配や訪問者を見逃さず便利さと安心を提供します。,"「ドアノックアラート」は、よく宅配を利用する人におすすめのシステムです。
従来の方法では外出中に宅配や訪問者に気づくことができませんでしたが、この「ドアノックアラート」を使用すれば手軽に対応できます。
外出先でもスマートフォンやタブレットでリアルタイムな通知が届き、再配達手続のストレスを軽減することができます。
さらに、従来のインターフォンにも後付けで導入することができるので、工事をする必要がありません！
忙しい現代人の生活スタイルに合わせた便利さと使いやすさを追求した「ドアノックアラート」で外出先でも宅配や訪問者に対応しましょう！
現代人の時間と労力を節約する革新的なシステムをぜひご覧ください！",,,
給料ワンちゃんアップ,皆若くして金は稼ぎたくねーか！稼ぎたいよな！,"バイトをしていて自分より働かず同じ給料をもらってる人にイラつきませんか？
そこで頑張れば頑張った分だけそれがポイントとなり同じバイトでも給料に差を付けられるものを作りました。","店長側で新規登録をして、登録出来たら評価をする側か、しない側かでする側なのであれば店長側のページでしない側であれば、バイト側に。
店長側がポイントが入る項目を複数だし、バイト側はクリアした項目をチェックし、店長側に申請をしてokの場合ポイントを付与しポイントが加算され一定のポイントがたまればそのポイントを使って時給を上げることが出来る。
noならば付与しない。
される側はログインして自分のポイントや給料を確認できる。",,,
フレンダー,友達と気軽に予定を組めるWebカレンダー,友達と予定を組む時面倒だと思ったことはないですか？しかし、このカレンダーを使えばそんな面倒とおさらばです！,"ターゲット:高校生〜大学生
コンセプト:友達との予定を気軽に組めるWebカレンダー

このカレンダーでは、予定を組みたい友達でグループを組み予定を共有することで、空き日を抽出し各人に確認をとることなく気軽に予定を組むことができます。
さらには、個人用のカレンダーとしても使用でき、グループで予定を共有する時はなんの予定が入っているかは見えないようになっています。誰とどれだけ遊んだかやどこに何度訪れたなんかもみることができます！",,,
自動カーテン,皆さんと考えて、雨を降るの時、家にいなければ、どうやって　服を取り入るのか。そのために自動カーテンを作ります,自動カーテンでは　雨センサーをつかって、情報をESP32送って、カーテンを閉めたりかけたりすることができます、ESP32を使ってmotorを制御します、将来でいろいろなセンサーを付けて、機能をたくさん入れるようにがんばります,"
これは、忙しい主婦を中心としたあらゆる人を対象とした自動カーテンで、例えば市場に買い物に行ったり、仕事に行ったりするときに、突然の雨でシャツがズボンに濡れてしまって大変です。 そこでこの問題を解決するためにこの製品を開発しました
この自動カーテンの特徴は、雨が降ると雨センサーにより自動的にカーテンを引いて回収できることです。 同時に、LINEアプリから情報を受信するためのソフトウェアも開発中です。これにより、特定の天気予報情報を携帯電話に送信したり、自動ブラインドを遠隔制御して、状況に応じてブラインドを閉めたり、カーテンを開けたりすることができます。ユーザーの裁量。",,,
OFFROCafe,お風呂上がりに冷たいコーヒーの一杯を,お風呂上がりの火照った体に冷たいアイスコーヒーの一杯を飲んで日々の疲れを忘れ、充実とした時間を過ごしてほしいそんな店舗になっています。,この作品はお風呂上がりにアイスコーヒーを飲んで楽しみたい。そんな人に向けて作った作品です。,,,
ハシッター,一人でも運動をするモチベーションを下げない,運動状況を友達にシェアして一人で運動をしているという孤独感を減少させ一人で運動をなどを続けることができない人に向けたサイトです。,"運動に特化したSNS「ハシッター」は、一人で運動を始めるものの3日坊主になってしまう人向けのサイトです。このサイトでは、運動状況を友達とシェアすることで、承認欲求を満たすことができます。友達からのリアクションをもらったりすることで、自己肯定感を高めることができます。また、友達の投稿を見ることで自分も頑張ろうと思い、運動に取り組むことができます。
ハシッターでは、運動量を数値で可視化することができます。これにより、自分の運動の進捗状況や成果を見ることができます。数値でモチベーションを維持することができるため、継続的に運動に取り組むことが可能です。",,,
棚友,食品ロスを減らし、自炊を楽しみ、棚友で始めよう！,棚友と共に、食材管理の未来を切り拓こう。賞味期限からレシピまで、キッチンを革新するサポート機能。さあ、詳細を知りたくないですか？,棚友 - 食材管理の未来がここに。私たちがお届けするのは、革新的なシステムです。棚友は、食材の賞味期限を元にした管理アプリで、キッチンをサポートします。賞味期限の一目瞭然なカレンダー機能や、全体的な食材の捜索が可能な倉庫機能など、私たちの強みを活かしています。さらに、レシピ機能では新規レシピの発見や管理、ショッピングカート機能では買い物リストの簡単管理も可能です。私たちの力をいれた部分は、食品ロス削減への取り組みです。未来の地球を考え、食材を有効活用するために、棚友を通じて自炊を楽しくサポートします。ぜひ、ブースを訪れて詳細をご覧ください。棚友があなたのキッチンを革新する様子を体感しましょう。,,,
ZZZFRIENZ,睡眠時間につながる・あそぶ,君の睡眠時間をゲーム内ポイントに変換し、そのポイントでマイキャラをお世話しよう！,10代~20代の寝る前のSNS利用による睡眠不足を解決。アプリユーザの睡眠時間中、他アプリユーザとのマッチングで生じたポイントでマイキャラにお着換えさせたりマイルームの模様替え等お世話が出来ます。SNSでも、睡眠時間でも「繋がる」新感覚の睡眠改善アプリケーションです(Android向け),,,
棚友,食品ロスを減らし、自炊を楽しみ、棚友で始めよう！,棚友と共に、食材管理の未来を切り拓こう。賞味期限からレシピまで、キッチンを革新するサポート機能。さあ、詳細を知りたくないですか？,棚友 - 食材管理の未来がここに。私たちがお届けするのは、革新的なシステムです。棚友は、食材の賞味期限を元にした管理アプリで、キッチンをサポートします。賞味期限の一目瞭然なカレンダー機能や、全体的な食材の捜索が可能な倉庫機能など、私たちの強みを活かしています。さらに、レシピ機能では新規レシピの発見や管理、ショッピングカート機能では買い物リストの簡単管理も可能です。私たちの力をいれた部分は、食品ロス削減への取り組みです。未来の地球を考え、食材を有効活用するために、棚友を通じて自炊を楽しくサポートします。ぜひ、自炊をする方々や食品ロス削減に関心を持つ人たちにご利用いただき、ブースを訪れて詳細をご覧ください。棚友があなたのキッチンを革新する様子を体感しましょう。,,,
春夏秋冬スピーディーなご飯を決めるサイト！！,春夏秋冬スピーディーなご飯を決めるサイト！！,みなさん、お昼休みに外食するときに、今日なにくおうか、迷ってしまって、貴重な昼休み時間をつぶしてしまうことありませんか？このサイトで解決できる。,"お昼休みに、外食をするときに、今日なにくおうか、迷ってしまって、貴重な昼休み時間をつぶしてしまったり、毎回同じ店で同じご飯食って飽きてしまう人に向けて、グルメAPIを使って、作ったサイトです。
最初にジャンル、予算、検索範囲の決まりがあるのでしたら、それを決めてから検索ボタンを押して、何も決まってないのでしたら、そのまま検索ボタンを押しても大丈夫です。それから絞られた店の中、ランダムに一つ店が出てきます。
これで迷わず昼ご飯を早めに決められます。",,,
SamuraiFit,運動の楽しさを毎日の習慣にしましょう!!!!!!!!,"運動を日々の生活に取り入れたいけど、何をすればいいかわからない。
運動を始めてもすぐにやめてしまう。そんな方に朗報。samuraiFitではあなたの運動習慣をサポートします。","誰でも簡単に運動を習慣化できるアプリケーションです。　ターゲットは20代後半から30代前半の社会人です。学生生活を終え、運動する機会が中々無い人に向けて作成しました。
特に力を入れたのはロードマップ機能であり、ゴールまでの途中のポイントを作成することでコツコツ続けることができます。",,,
CAA,緊急の判断、迅速かつ確実に。救急車コールサービス,救急車の適切な利用が、大切な人や自身の命を救います。信頼のWEBサービスがあなたに正しい判断を提供し、安心と助けを届けます。,"「CAA」（call an ambulance ）は、救急車の適切な利用を促進するためのWEBサービスです。このサービスでは、緊急時の状況を的確に判断し、救急車の派遣が本当に必要か判定することができます。

このWEBサービスでは、消防庁が公開している「救急車利用リーフレット」を活用して作成した信頼性の高い質問を使用しています。ユーザーはこれらの質問に回答し、その結果に基づいて、救急車の派遣が適切かどうかを判断します。

また、質問の回答から簡易的な問診票をPDFで出力することで、より迅速に緊急時に対処できるようになります。

私たちの目標は、不適切な救急車の利用を撲滅することです。
「CAA」を通じて、命を救うための迅速で的確な判断をサポートします。
",,,
賞味期限管理サービス,この世の食品すべて管理!?　賞味期限管理サービス,"新鮮な食材で健康と安全をサポート。食品の鮮度を見逃さず、食品ロスを減らしてくれる!
あなたのスマホでいつでもどこでも鮮度チェック!",「Aチーム、食品の鮮度を見逃さず、健康と安全をサポートする革新的なサービスです。私たちは、食品の賞味期限を的確に管理し、ユーザーの食品ロスを削減することに力を入れています。チームAは、主に忙しい現代人や家庭、一人暮らしの学生に向けて設計されており、食品の安全性と品質を最優先に考えています。当サービスでは、ユーザーは自分の冷蔵庫や食品ストックを商品に貼られているQRコードで管理し、賞味期限の迫った食材に関するアラートや提案を受けることができます。また、チームAはAI技術を活用して、食材の最適な保存方法やレシピの提案も行います。私たちは、使いやすさと実用性に重点を置き、ユーザーがより効果的に食品を管理し、健康的で持続可能な食事を楽しめるようにしています。Aチームのブースを訪れ、食品の鮮度と健康への取り組みを体験してみてください。」,,,
helpkansai,あなたの旅行をサポートします,実際に旅行をして場所がわからなかったときや、もう少しその場所について知りたいと思ったことはあると思います。今はいろいろなマップがあるとは思いますが、実際に詳しい人から聞いた方がいろいろな事を聞けるかと思い制作をしました。,"旅行者向けに作ったもので現在は関西圏のみですが、観光したい場所やどこに何があるかを知りた　　　　　　　　　　　　　　　　　　　　　　　　い方向けにお勧めのサイトとなっています。
機能面としては、まず最初に使用者側であるユーザー登録と案内側のガイドの登録の登録後、地域を選択する画面に飛び、それぞれの地域に応じたガイド一覧が表示され自分に合ったガイドを見つけることができます。
ガイド側は登録時に自分の案内できる地域、国籍、話すことができる言語を登録しているので、
海外の方でも自分の言語に合わせた選択が可能です。
連絡手段は気になるガイドをクリックすることで、プロフィール画面に飛ぶのでそこからinstagramとLINEのアイコンに飛んで個々で連絡を取り合う形です。",,,
青い猫,もう、絶対大切なものを忘れない!!!,簡単にQRコードを利用して落としってしまった物の現在ある場所（コンビニなど）を分かれるプログラムです。,よく忘れ物や落し物をする方に目指して作っております。アカウントを簡単に作成する事でユニックなQRコードを手に入れ、荷物に貼るだけで無くした場合全国のコンビニでそのQRコードをすかんするだけで場所を自動的にお知らせします。,,,
自動カーテン, 雨の時の衣服取り込みを支援する自動カーテン,"雨センサーとESP32を使用した自動カーテン。
モーター制御で開閉し、将来的には機能拡張を目指す。","この製品は、忙しい主婦を中心にしたあらゆる人を対象とした自動カーテンです。例えば、スーパーに買い物に行ったり、仕事などで外出している際に突然の雨で洗濯物が濡れてしまうと大変です。そこで、この問題を解決するためにこの製品を開発しました。

この商品の特徴は、雨センサーによって自動的にカーテンを降ろして衣服を保護できることです。さらに、LINEアプリから直接開閉できるアプリケーションも開発中です。
これにより、スマートフォンの画面で事前にカーテンを閉めることができます。",,,
努力で給料を上げたい,頑張りを結果につなげよう、未来のために！,"バイトをしていて自分より働かず同じ給料をもらってる人をどう感じますか？
そこで頑張れば頑張った分だけそれがポイントとなり自分に返ってきます。","店長側で新規登録をして登録出来たら評価をする側か、
しない側かで、分かれている。
する側なのであれば店長側のページ。
しない側であれば、バイト側に。
店長側がポイントが入る項目を複数だし、バイト側はクリアした項目をチェックし、店長側に申請をしてokの場合ポイントを付与しポイントが加算され一定のポイントがたまればそのポイントを使って時給を上げることが出来る。
noならば付与しない。
される側はログインして自分のポイントや給料を確認できる。",,,
フードロス対策商品管理システム,お皿から繁栄へ、食品ロス防止システムが風味を守り、未来を救います！,食品ロス防止システムが食の未来を守る！驚異的な効果で廃棄物を削減し、持続可能な社会へ導きます。食品を無駄にせず、世界中の人々に満足感と豊かさを提供します ,私たちのチームは食品ロスを防ぐため、中小企業向けの商品管理システム作りました。操作するユーザは4つに分けています。一般ユーザ側、ストア側、会社側、や管理者側です。操作の流れとして、最初はストア側(弁当屋、喫茶店)からもし賞味期限に近い食品があっていたら廃棄会社に報告し、取集します。その後、会社のウェブにおいて一般ユーザに売り出しますか、会社の店舗に販します。機能として、ウェブサイトをフレキシブルにしていきます。そうでしたら、パソコンでも、スマホでも、タブレットでも見やすくして情報をわかりやすくしていきます。,,,
HANDS CONNECT,皆の様子を共有できる ボランティアコミュニティシステム,"誰かが投稿したボランティアの様子をみてあなたが興味を持ってくれたなら、
あなたが投稿したボランティアの様子をみて誰かが興味を持ってくれたなら、
","参加するための心理的ハードルが高い
ボランティア活動に関する十分な情報がない
参加するメリットがない
などの学生たちがボランティアに参加しない理由を解決すべく生まれたサイトです。
ボランティアを募集する側だけでなく実際に参加してくれた人たちに実際の様子の写真と感想を投稿してもらうことでもっと身近にボランティアを感じてもらいたいと思っています。
また、ポイント制度を導入しました。
ポイントを多く獲得したユーザーはオーナーのページの参加者を表示する機能で上位に表示されたりなど、サイト内での優遇があります。
またこのポイントは実績を見える化したものなので面接などで根拠として使うことが出来ると考えています。
",,,
Teachallenge,社会問題である中学教員の過酷な労働環境を救うアプリ！？,過酷なほど多い仕事量を教員内で協力してタスクを分散させて１人あたりの作業量を平均的に少なくして生徒に向き合う時間や残業を減らすことができる。,社会問題である教員の過酷な労働環境で特に注目されている公立の中学教員を対象にアプリを制作しました。仕事量を減らすために業務内容に目を向けて、このアプリで全体タスクと専門タスクなどと分けることでタスクをそれぞれに分散させることができ仕事量が減ると考えました。教員同士でも過酷さに気づき、助け合うためにもスケジュール、持ちタスクを見える化し、全体タスクを消化し切るまで退勤できないという条件を付けて他人事にはならないようにしました。頑張りは評価されるようにタスクをこなせば貢献度が得られて全体に見られるため今までは気づかれなかった教員の頑張りを可視化する事ができる。,,,
MANE TABI,見つけて まねして カスタマイズ！  あなただけの旅づくり,"プランを立てずに旅行に行くと、旅先でゴタゴタしてしまう。
でも、1から計画を立てるのは苦手。
そんな悩みを「MANE TABI」で解決！","「MANE TABI」は、旅行前に計画を立てたいときに役立つアプリです。
他の人のプランをベースにしながら、自分に最適な旅行計画を練ることができます。

メイン機能として、
1. 行きたい場所、季節など条件を選択して検索
2. 参考にしたいプランを保存することも可能
3. 一番気に入ったプランを複製・編集
作成したプランを誰かに共有し参考にしてもらいたい人のために、自分のプランを投稿することもできます。

「MANE TABI」は自分の旅行スタイルや好みに合ったプランを作成するができ、より良い旅づくりの手助けをします！",,,
スケジュール管理アプリ,時間にルーズなそこのあなた、あなたにはこれを紹介しよう,予定の時間を守れなくて困っているなら、こちらの機能をおすすめします!この機能を使用すれば、予定の時間に間に合わせるようにできることができます!!,"このアプリの機能については、主に時間に関しての機能内容です。様々な機能によって、あらゆる時間に関するサポートを行うことができるものになっています。
ターゲットとしては、若年層(新入社員)をターゲットにおいて作成しました。理由としては新入社員なら遅刻・予定の時間に間に合わないという不安などがあると思います。その不安を解消するために作成をしました。この機能の強みとしては、あらかじめ予定を作成しておき、その後自分が入れたいよていがあれば追加・削除することができ、さらに1か月、1年にも延ばせる予定です。これだとどこにでもある機能だと思われますが、この機能での違いはさまざまなオプションがあります。ぜひお越しください!",,,
cooklife,生活を豊かに！,一人暮らしで買ったものばかり食べている方に、自炊の手助けと栄養バランスの管理を補助するアプリ,"一人暮らしや自炊をしていない方、買ったものばかりを食べている人に、自炊の手助けと栄養バランスの管理をします。日ごとにカロリーの摂取量を管理してどんな料理をどれだけ取ればいいのかを提示します。そしてそれにあった買い物リスト、レシピを表示し料理のアシストを行います。
できる限り入力を減らしたので操作が簡単です。",,,
大貧困！！節約くん！,節約くんをあなたのスマホに宿し大金持ちに！！,形而上学的な存在の節約くんが、スマートフォンを介する事で人類でも可視化することが出来る様になります。節約くんは感情のコントロールが苦手なので、ユーザーはしっかりと支出を管理し節約くんを怒らせない様にしましょう。,節約くんと共に！素晴らしい節約LIFEを!!!!!!!!!!,,,
MOOD MAKER,指定のポーズでライトの色が変わる！,腕にM5Stickをつけ、Aボタンを押した後、２秒以内に自分の気分に合っているポーズをすると、その気分に合っている色に光ります。,このムードメーカーは、リラックスしたり、夜の暇なときなどの一人時間をさらに充実させるべく、開発されました。こちらのアイテムは、自身の気分に合わせてLEDを光らせることができます。仕様は、腕に装着するM5Stickに加速度センサーがついており、正面のボタン（Aボタン）を押した後、ポーズから傾きをとり数値でパターンを判別、ESP32（LED側のマイコン）にBluetooth通信でデータを送信して、LEDの色を変えたり、消したりすることができます。LEDのパターンは、悲しい、嬉しい、パーティモードの３種類＋消灯です。また、M5Stick側の画面も色に合わせて切り替わるのも魅力です。,,,
★小さな海のパレード★,わくわく！きらきら！見て聴いて楽しめる作品！,"すぐに飽きてしまう子どもの興味を引くかわいいものが欲しい！
そんなあなたにおすすめ！
気分によって雰囲気を変更できる素敵なインテリア！
","ボタン一つで気分によって装飾を制御できるシステムです！小さいこどもに向けた作品です！
見た目が可愛く、音楽も流れるので、かわいいインテリアになります！
また、ライトがカラフルに光って、映像が動き、楽しい音楽が流れるので、興味を持っていただける作品です！
実際に外部イベントでは子どもに興味を持ってもらうことができ、水槽の前に張り付いてくれている子もいました！そのぐらい可愛い作品です！
特に力を入れた部分は装飾で、魚や貝殻の絵を描いたりするのではなく、デフォルメされた実際の人形を配置し、貝殻や木などで海と陸を表現しました！そのため、立体感のある作品となっています！また、映像でもかわいいお魚たちが泳ぐという細部までこだわったので、ぜひご覧ください！",,,
Mamoroくん,いつでもどこでもMamoroくん！あなたの大切なモノを守ります！,財布や鍵、よく迷子になってしまうお子様や認知症による徘徊が心配なお年寄りの方など、あなたの守りたい“物”や“者”を守ります。,"気を付けていてもついつい忘れ物をしてしまう人や、小さなお子様、認知症の方の家族などに向けた作品です。
作品概要…腕に着けた親機と大切なモノに着けた子機が離れたら、親機の画面とLINEの両方で通知します。また、探しても見つからないときはボタンを押すと、子機から音が鳴ることで位置を知らせます。
強み…操作は３つのボタンのみでとてもシンプル。使い方の幅広さと、使い易さに優れています。
力を入れた点…親機の画面とLINEの２つで通知をすることで、すぐ忘れ物に気が付くことができるようにすることと、見た目のコンパクト・シンプルさの２点に力を入れました。",,,
うごく！しゃべる！ニャリオット！,うごいてしゃべる、知育用の猫型ロボットです,ミニゲーム、ラジコン、自由走行の３つの機能を搭載しています。NFCカードとDS4コントローラーを使って、ニャリオットと楽しく遊ぼう！,"猫、飼いたいですよね？
でも飼えない……小さなお子様がいらっしゃるですとか、そもそも賃貸でダメなんですとか……。そんなあなたにこちら！　猫型ロボットニャリオットです！　IoT部のマスコットキャラクターを作品化しました。NFCカードを使ってミニゲームを遊んだり、DS4コントローラーを使用してラジコンとして動かしたり。でも、皆さん、自分で動かせちゃうなら、それって猫じゃなくない！？　そう思った方も多いのではないでしょうか？　ご安心ください！　自由走行機能も搭載しています実際にイベントで展示したところ小さな子供たちに大人気でした。ぜひ見に来てください！",,,
親フラ感知,親フラなどの「家族が突然入ってくる」問題、これで解決！,親フラによって「実は『パパママ』呼びなのが通話中の友達にばれる」「ゲーム中なのに邪魔をされる」といった悩み、解決したくありませんか？,"「ゲーム中、通話中などに親が突然部屋に入ってくる」
「自分がいない間に家族が勝手に部屋に入ってくる」
など、「部屋に入られる」問題はこれ一つでOK！

誰かが近づいてきた時…
誰かが扉を開けたとき…
その時、自分のLINEに通知が届く！

自分がどこにいても！
常に！
簡単に！
部屋を監視！

警報ブザーや回転灯も搭載！
部屋の中にいる時の自分への通知方法として使うもよし、
勝手に入ってくる家族への嫌がらせに使うもよし！

こっそりと「パパママ呼び」していることが通話中の友達にばれることも！
音楽を聴いていて誰かが部屋に入ってきても気づけずびっくりすることも！
これを使えば、すべて解決！",,,
麻雀先生,遊ぶだけで勝率UP！麻雀AIの打牌サポート,"麻雀上級者の対局を学習したAIがあなただけの先生になり、打牌時にレコメンドをしてくれます。
レコメンドを参考に遊ぶだけで麻雀が上達します。","このシステムは麻雀の上達を目指す方々に向けて開発しました。上級者の対局データを学習したAIは自ら思考して最適な打牌を導き出すことができます。それを目安に対局を行い、効率的な打牌の基礎を学ぶことは麻雀上達の近道となります。
モデルの作成には教師あり学習を用いています。これにより上級者と遜色のない打牌を実現することが可能になります。そして、麻雀ソフトと結合することで、ユーザビリティの高いソフトウェアとして完成しました。
さらに、オープンソースとして提供されているため、麻雀の戦術やAIの理解を深めたい方はAIの内部を覗いて学ぶことや、自作のAIを搭載することなど、ユーザのニーズに合わせてカスタマイズ可能です。
",,,
トラベルメイト,手ぶらで旅行ができる!？未来の旅のパートナー,"トラベルメイトで未来の旅行を体験出来ます！
荷物をパートナーに預けて自動追尾システムと音声対話システムにより快適で楽しい旅を実現しました。","ご来校ありがとうございます。
ところで、その手荷物ちょっと重くないですか？
その荷物が自動で付いて来てくれたら楽ですよね。

そこで、キャリーケースをスマート化しました。
このトラベルメイトは、自動追尾式で荷物を筐体に置くことで持つ・引くといった手間を省き紛失防止機能が搭載されている為荷物の置き忘れ防止も出来る旅のお供になります。
一人旅の場合でも移動時や待ち時間などでChatGPTを使った対話機能もあり旅を楽しめます！
今回、数多あるマイコンを採用し、その連携に苦労しました
そして、学年が違う五人がIoT部を通してチームを組んで一丸となり筐体の設計と加工を行いました。
テックシーカーハッカソン2023にて入賞した作品をぜひ見に来てください。",,,
自律性のあるMMOゲームサーバー の実現：HAとIaCによりクラウドプラットフォームの構築 ,高可用性と自律性を追求、最適なMMOゲームサーバー構成,高性能なMMOゲームサーバーの構築を目指し、高可用性と自律性を組み合わせた新たなアプローチを探求。障害対策からリソース管理まで、最適化されたサーバー環境を実現します。,"この研究は、大規模多人数同時参加型オンラインゲーム（MMO）サーバーのための高可用性と自律性を追求した新たなインフラアーキテクチャの開発を目指します。MMOゲームサーバーには大量のリアルタイムのユーザーをサポートする高いスケーラビリティと耐障害性が必要です。本研究では、これらのニーズを満たすための新たなアプローチを提示します。
",,,
しゃべる！　ニャリオット！,生意気かわいいべりーきゅーとなニャリオットとおはなししよう！,ニャリオットとはIoT部のマスコットです。我々思いました。彼とおはなししたいと！そこで、しゃべれるぬいぐるみをつくりました。ぜひ見に来てください,"IoT部のマスコットキャラクターの猫ちゃん、ニャリオットとおはなししできるようになりました！　あみぐるみの姿の彼に話しかけると会話ができます。あなたの楽しかった思い出を話したり、誰にも話せないような悩みや愚痴を聞いてもらったり。彼はあなたのことを嫌いにはなりません。安心しておはなししましょう。
誰かとおはなししたいけど、人と話すのが苦手な方。一人でいるのが寂しい方。猫が好きな方。そんな人たちのためにつくりました。かわいさには自信があります！　彼の人格形成にはこだわりました。わたしたちのつくった「かわいい」ニャリオットをぜひ見に来てください。",,,
meecha,ふとした時に思わぬ友達に会えるアプリmeecha!!,もし友達が偶然同じ場所に居たのならば会いたいと思いませんか？ただ、どこにいても位置情報を共有するとなるとプライバシーが…と思う方いますよね？そんな問題を解決しました！,"meechaという名前はmeet by chance(和訳：偶然会う)を略して作りました。ターゲットは今学校に通う学生さん！皆さん、昔(中学時代など)の友達と会えるとなればうれしいと思います。今いるコミュ二ティでアプリを使用し数年たった後も旧友と会えるメリットがあります。
具体的な機能としては友達間でフレンドになり、通知範囲を設定すると自分がいる場所の範囲内にフレンドがいると通知され、どこにいるかマップで知らせてくれます。使用用途は偶然同じ場所に居た時と普段使い用として待ち合わせ場所で他の事をして相手を待っている時や、相手が近付いた時通知され、いつ頃来るか把握できます。",,,
起床点結RTA,起きてタッチでRTA！ 家族とタイムを競い合おう！,"毎日2度寝をしてしまう、楽しい朝を迎えたい、そんなあなたに必見です！
1日の始まりを、全力ダッシュで楽しみませんか？","このアプリは、毎日起きるのが楽しみになるゲームアプリです。
名前がついた5つのNFCタグを、家のさまざまなところに設置します。
アラームが鳴ると、画面に表示された順にNFCタグをタッチしていき、最後のタグをタッチするとRTAが終了します。
このアプリには同居家族との対戦機能があり、ランキングを更新するとポイントが付与されます。貯まったポイントでガチャを回し、入手した景品でアプリをカスタマイズすることも可能です。
また、キャラクターがその日の天気を教えてくれます。
サポーターズ主催の京都キャラバンハッカソンで優秀賞、渋谷で行われた技育キャンプアドバンスでは副大賞を受賞した作品です。
楽しい朝を迎えたい人、二度寝をしてしまう人に、ぜひ使っていただけたらなと思います。",,,
Hobby Links,HOBBYLINKS は　同じ趣味興味を持つ人々のための、対面およびオンラインの活動 イベントを主催、組織するためのプラットフォームです。,HOBBYLINKSの世界へようこそ。趣味を通じて繋がり、豊かな体験を共有。新たな趣味の扉を開きませんか？,"「HOBBYLINKS」は、同じ趣味や興味を共有する人々のためのプラットフォームです。対面およびオンラインの活動やイベントを主催、組織する場として、趣味仲間との交流と新たな発見を実現します。このプラットフォームは、趣味に熱中する人々に向けてデザインされており、様々な趣味カテゴリーから興味深いイベントを提供します。

私たちの強みは、共通の趣味を通じてコミュニケーションを促進し、新しい友達や仲間を見つけるチャンスを提供することです。対面イベントでは、同じ興味を持つ人々と直接交流しながら、楽しい時間を過ごすことができます。オンライン活動も豊富で、地理的な制約を超えて世界中の仲間とつながることができます。

私たちは参加者の体験に重点を置いており、専門的なイベント運営やコミュニティのサポートを通じて、楽しさと満足感を提供します。趣味の情熱を共有し、新たな視点やアイデアを得る場として、「HOBBYLINKS」はあなたの趣味ライフをより充実させる場所です。私たちのブースに是非お越しいただき、趣味仲間との素晴らしい体験を共にしてください。",,,
